n,x,y
1.0,-5572.57,2839.81
2.0,-6729.21,2962.82
3.0,-8326.72,3219.84
4.0,-4961.07,2920.67
5.0,-6202.7,3014.64
6.0,-5544.93,2494.33
7.0,-6712.64,3446.49
8.0,-5400.52,2707.84
9.0,-5383.92,2365.84
10.0,-5220.18,2746.55
11.0,-7159.69,3326.96
12.0,-5320.37,2850.2
13.0,-5685.17,2603.52
14.0,-6805.21,2342.34
15.0,-6725.75,2604.2
16.0,-5577.4,2768.64
17.0,-5531.11,1846.22
18.0,-8313.57,3276.5
19.0,-8456.6,2861.92
20.0,-5690.01,2157.15
21.0,-6193.72,3106.52
22.0,-6068.67,2926.89
23.0,-6709.88,3102.4
24.0,-5245.72,3038.81
25.0,-6380.27,2936.57
26.0,-5047.44,2870.91
27.0,-5322.42,2687.11
28.0,-5468.21,2891.63
29.0,-8176.09,3183.22
30.0,-6711.93,2179.95
31.0,-6047.92,2672.62
32.0,-6702.97,1990.63
33.0,-6279.39,2235.23
34.0,-8507.06,3404.34
35.0,-6772.07,3241.95
36.0,-5754.27,2130.2
37.0,-5198.07,2978.71
38.0,-5509.0,2756.92
39.0,-6584.82,2235.23
40.0,-7909.38,2940.71
41.0,-6050.69,2294.65
42.0,-6129.46,2367.2
43.0,-6626.97,2498.48
44.0,-7667.55,2226.26
45.0,-7221.19,2568.27
46.0,-5166.26,2779.7
47.0,-5916.64,3092.7
48.0,-5484.79,3016.03
49.0,-6610.36,2698.17
50.0,-5772.25,2877.83
51.0,-6498.45,2309.87
52.0,-6039.65,2727.21
53.0,-5696.92,1931.22
54.0,-5823.36,2103.96
55.0,-8459.38,3264.08
56.0,-5261.63,2974.55
57.0,-5689.32,2252.5
58.0,-5551.82,2343.71
59.0,-5195.3,2832.23
60.0,-8380.61,2622.85
61.0,-6188.88,3076.14
62.0,-5570.49,2788.7
63.0,-7132.05,2806.65
64.0,-5463.38,2636.0
65.0,-5790.89,2758.28
66.0,-6445.93,2571.74
67.0,-5015.64,2908.91
68.0,-6194.43,2749.99
69.0,-8112.52,3293.77
70.0,-5959.5,2879.91
71.0,-6683.62,3008.43
72.0,-6660.11,2935.87
73.0,-6477.72,2246.28
74.0,-6675.33,2324.36
75.0,-7390.45,3095.47
76.0,-6680.17,2434.22
77.0,-6012.69,2240.06
78.0,-6441.79,2674.67
79.0,-8452.47,3288.93
80.0,-5228.45,2861.23
81.0,-7162.46,2893.02
82.0,-5109.61,2958.66
83.0,-5602.95,2216.59
84.0,-5828.2,3212.26
85.0,-5702.45,1889.08
86.0,-8479.42,2656.02
87.0,-7320.67,2465.33
88.0,-8270.73,2378.25
89.0,-8144.31,2332.65
90.0,-8421.36,2580.03
91.0,-8458.67,2610.42
92.0,-5714.88,2864.02
93.0,-8094.56,2260.1
94.0,-8105.59,2356.85
95.0,-6805.92,2032.79
96.0,-6939.97,2173.73
97.0,-7730.4,2816.32
98.0,-5223.61,2651.18
99.0,-8405.49,2533.72
100.0,-6744.43,2683.68
101.0,-7324.14,2662.24
102.0,-8500.82,3105.14
103.0,-6432.79,3105.85
104.0,-6231.74,2668.46
105.0,-6553.01,2747.93
106.0,-5975.39,2908.91
107.0,-4976.25,3069.21
108.0,-6506.72,3148.67
109.0,-5618.84,2065.25
110.0,-5799.89,3000.82
111.0,-8394.41,2666.4
112.0,-5041.91,3013.26
113.0,-7222.55,2307.8
114.0,-5375.64,2483.28
115.0,-7547.32,2873.69
116.0,-6156.4,2920.67
117.0,-5362.51,2982.15
118.0,-6388.57,3041.59
119.0,-5523.51,2575.2
120.0,-5351.44,2593.85
121.0,-5865.51,2752.08
122.0,-7744.91,2678.84
123.0,-6178.52,3153.51
124.0,-8278.33,2730.66
125.0,-7230.86,3483.78
126.0,-8446.23,2776.26
127.0,-5246.43,2786.63
128.0,-5613.31,2843.96
